CLASSE_DETCode,CLASSE_DET,CLASSE_GEN,CLASSE_GENCode
1,Autres céréales,Culture annuelle,3
2,Avoine,Culture annuelle,3
3,Blé,Culture annuelle,3
4,Chanvre,Culture annuelle,3
5,Maïs,Culture annuelle,3
6,Maraîcher,Culture annuelle,3
7,Orge,Culture annuelle,3
8,Soya,Culture annuelle,3
9,Culture indéfinie,Culture indéfinie,7
10,Foin,Culture pérenne,10
11,Pâturages / Cultures fourragères,Culture pérenne,10
12,Cannebergière,Culture spécialisée,10
13,Cultures mixtes,Culture spécialisée,10
14,Petits fruits,Culture spécialisée,10
15,Verger,Culture spécialisée,10
16,Vignoble,Culture spécialisée,10
17,Eau peu profonde,Eau peu profonde,8
18,Eau profonde,Eau profonde,9
64,Feuillus autres,Feuillus,15
62,Feuillus basse densité,Feuillus,15
60,Feuillus dense,Feuillus,15
61,Feuillus moyenne densité,Feuillus,15
63,Feuillus très basse densité,Feuillus,15
72,Confères basse densité,Forêt dense,17
74,Conifères autres,Forêt dense,17
70,Conifères dense,Forêt dense,17
71,Conifères moyenne densité,Forêt dense,17
73,Conifères très basse densité,Forêt dense,17
69,Forêt mixte autre,Forêt mixte,16
67,Forêt mixte basse densité,Forêt mixte,16
65,Forêt mixte dense,Forêt mixte,16
66,Forêt mixte moyenne densité,Forêt mixte,16
68,Forêt mixte très basse densité,Forêt mixte,16
19,Friche / Arbustif,Friche / Arbustif,11
20,Gravière / Sablière,Gravière / Sablière,12
21,Marais,Marais,13
22,Marécage,Marécage,21
23,Bassin,Milieu lentique,4
24,Étang,Milieu lentique,4
25,Lac,Milieu lentique,4
26,Mare,Milieu lentique,4
27,Réservoir,Milieu lentique,4
28,Canal,Milieu lotique,5
29,Cours d'eau,Milieu lotique,5
30,Milieu agricole non cultivé,Non cultivé,7
31,Peuplement feuillu,Peuplement feuillu,15
32,Peuplement mixte,Peuplement mixte,16
33,Peuplement affecté par des perturbations d’origine anthropique,Peuplement perturbé,22
34,Peuplement affecté par des perturbations d’origine naturelle,Peuplement perturbé,22
35,Peuplement résineux,Peuplement résineux,17
36,Plantation,Plantation,23
37,Prairie humide,Prairie humide,20
38,Autoroute,Route et emprise,2
39,Autoroute à axes fusionnés,Route et emprise,2
40,Bretelle,Route et emprise,2
41,Route collectrice pavée,Route et emprise,2
42,Route indéfinie,Route et emprise,2
43,Route locale non pavée,Route et emprise,2
44,Route locale pavée,Route et emprise,2
45,Route nationale pavée,Route et emprise,2
46,Route régionale pavée,Route et emprise,2
47,Sol dénudé,Sol dénudé,19
48,Tourbière boisée,Tourbière,20
49,Tourbière exploitée,Tourbière,20
50,Tourbière ouverte bog,Tourbière,20
51,Tourbière ouverte fen,Tourbière,20
52,Aéroport,Zone développée,1
53,Camping,Zone développée,1
54,Dépotoir,Zone développée,1
55,Golf,Zone développée,1
56,Jardin zoologique,Zone développée,1
57,Pépinière,Zone développée,1
58,Station de ski,Zone développée,1
59,Zone développée,Zone développée,1
