"from_time","to_time","land_type","age_before","age_after","from_cover","to_cover","probability"
0,20,1,0,1,0,1,0.491347595040196
0,20,1,0,1,0,2,0.508107371576509
0,20,1,0,1,0,3,0.000545033383294727
0,20,1,1,1,1,1,0.428641490926925
0,20,1,1,2,1,1,0.289847964688573
0,20,1,2,1,1,1,0.0617283950617284
0,20,1,2,2,1,1,0.709417406387103
0,20,1,2,3,1,1,0.0299969390878482
0,20,1,3,2,1,1,0.230769230769231
0,20,1,3,3,1,1,0.634615384615385
0,20,1,1,1,1,2,0.234428641490927
0,20,1,1,2,1,2,0.0470819028935753
0,20,1,2,1,1,2,0.03601673298643
0,20,1,2,2,1,2,0.161922252831344
0,20,1,2,3,1,2,0.000918273645546373
0,20,1,3,2,1,2,0.115384615384615
0,20,1,3,3,1,2,0.0192307692307692
0,20,1,1,1,2,1,0.0140900195694716
0,20,1,1,2,2,1,0.012133072407045
0,20,1,2,1,2,1,0.00485277723129386
0,20,1,2,2,2,1,0.0620368548757296
0,20,1,2,3,2,1,0.00111482720178372
0,20,1,3,2,2,1,0.142523364485981
0,20,1,3,3,2,1,0.191588785046729
0,20,1,1,1,2,2,0.771037181996086
0,20,1,1,2,2,2,0.202739726027397
0,20,1,2,1,2,2,0.10748245786609
0,20,1,2,2,2,2,0.820250508230048
0,20,1,2,3,2,2,0.00426257459505541
0,20,1,3,2,2,2,0.348130841121495
0,20,1,3,3,2,2,0.317757009345794
0,20,1,2,2,3,2,0.668965517241379
0,20,1,2,3,3,2,0.00689655172413793
0,20,1,2,2,3,3,0.324137931034483
0,20,2,0,0,0,0,0.00054993400791905
0,20,2,0,1,0,1,0.52540695116586
0,20,2,0,1,0,2,0.472173339199296
0,20,2,0,1,0,3,0.00186977562692477
0,20,2,1,1,1,1,0.464545454545455
0,20,2,1,2,1,1,0.318181818181818
0,20,2,2,1,1,1,0.0815146533643217
0,20,2,2,2,1,1,0.713338246131172
0,20,2,2,3,1,1,0.0352020860495437
0,20,2,3,2,1,1,0.267241379310345
